Date,Source URL,Country,Source label,Hospital admissions with moderate to severe symptoms (weekly),Hospital admissions (weekly)
2022-07-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720234&cg_code=&act=view&nPage=1,South Korea,Korea DCA,144,1659
2022-08-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720313&cg_code=&act=view&nPage=1,South Korea,Korea DCA,239,2011
2022-08-09,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720383&cg_code=&act=view&nPage=2,South Korea,Korea DCA,324,2787
2022-08-16,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720575&cg_code=&act=view&nPage=2,South Korea,Korea DCA,450,3420
2022-08-23,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720575&cg_code=&act=view&nPage=2,South Korea,Korea DCA,463,3847
2022-08-30,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720575&cg_code=&act=view&nPage=2,South Korea,Korea DCA,597,2635
2022-09-06,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720648&cg_code=&act=view&nPage=3,South Korea,Korea DCA,467,2013
2022-09-13,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720694&cg_code=&act=view&nPage=1,South Korea,Korea DCA,482,1766
2022-09-20,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720738&cg_code=&act=view&nPage=2,South Korea,Korea DCA,369,1439
2022-09-28,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720792&cg_code=&act=view&nPage=3,South Korea,Korea DCA,335,1030
2022-10-05,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720844&cg_code=&act=view&nPage=2,South Korea,Korea DCA,248,844
2022-10-12,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720888&cg_code=&act=view&nPage=2,South Korea,Korea DCA,226,713
2022-10-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720925&cg_code=&act=view&nPage=1,South Korea,Korea DCA,175,593
2022-10-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721046&cg_code=&act=view&nPage=1,South Korea,Korea DCA,199,834
2022-11-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721046&cg_code=&act=view&nPage=1,South Korea,Korea DCA,238,932
2022-11-09,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721234&cg_code=&act=view&nPage=1,South Korea,Korea DCA,280,1243
2022-11-16,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721234&cg_code=&act=view&nPage=1,South Korea,Korea DCA,353,1467
2022-11-23,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721234&cg_code=&act=view&nPage=1,South Korea,Korea DCA,409,1492
2022-11-30,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721290&cg_code=&act=view&nPage=1,South Korea,Korea DCA,424,1299
2022-12-07,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721356&cg_code=&act=view&nPage=1,South Korea,Korea DCA,398,1254
2022-12-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=721408&cg_code=&act=view&nPage=1,South Korea,Korea DCA,398,1330
